,Scientific.Discipline,Title,First.Name,Middle.Name,Last.Name,Suffix,Citation,Full.Name,,Wiki.page,Gender,Page.Year,page.creator (partial data)
542,Medical Sciences,Dr.,Lorraine,B.,Ware,,"For distinguished contributions to the field of translational research in acute lung injury, particularly for studies of novel mediators of acute respiratory distress syndrome as new therapeutic targets.",Lorraine Ware,,FALSE,f,,
543,Engineering,Prof.,Sharon,,Weiss,,"For distinguished contributions to the field of silicon photonics, particularly for guided wave optical biosensors and novel approaches to tailor light-matter interactions.",Sharon Weiss,,TRUE,f,2020,
544,Medical Sciences,Prof.,Bjorn,C.,Knollmann,,"For distinguished contributions to the field of medicine, particular for the study of arrhythmia mechanisms leading to the discovery of new treatments of human disease.",Bjorn Knollmann,,FALSE,m,,
545,Biological Sciences,Prof.,Xiang-Jin,,Meng,,For paradigm-shifting discoveries leading to the recognition of human hepatitis E as a zoonotic disease and identification of first animal strains of hepatitis E virus,Xiang-Jin Meng,,TRUE,m,2020,
546,Physics ,Prof.,Leo,,Piilonen,,"For distinguished contributions to experimental elementary particle physics, particularly for leadership in the Belle and Belle II collaborations and in their muon and K-long meson detection and identification.",Leo Piilonen,,FALSE,m,,
547,Medical Sciences,Prof.,Hui-Kuan,,Lin,,"For distinguished contributions to the field of oncogenic signaling in cancer, particularly in better understanding the role of ubiquitination in Akt signaling and cancer control.",Hui-Kuan Lin,,TRUE,m,2020,
548,Biological Sciences,Dr.,Santanu,,Bose,,"For distinguished contributions to the field of respiratory virus innate immunity and inflammation, particularly for understanding the mechanisms regulating production of proinflammatory and antiviral factors to treat inflammatory lung diseases.",Santanu Bose,,FALSE,m,,
549,Medical Sciences,Dr.,Thomas,(Tom),Kawula,,"For distinguished contributions to the field of microbiology, particularly in molecular pathogenesis of zoonotic bacterial diseases and training of the next generation of infectious diseases scientists.",Thomas Kawula,,FALSE,m,,
550,Biological Sciences,Prof.,Bernd,Markus,Lange,,"For distinguished contributions to the field of plant terpenoid biochemistry, with particular emphasis on metabolic control in specialized secretory structures and cell types.",Bernd Lange,,FALSE,m,,
551,"Social, Economic & Political Sciences",Prof.,Jill,J.,McCluskey,,"For distinguished contributions to research and leadership in the areas of food labeling, food quality and product reputation.",Jill McCluskey,,FALSE,f,,
552,Medical Sciences,Dr.,Katrina,L.,Mealey,,"For innovative and distinguished contributions to the field of veterinary pharmacogenetics, particularly for developing methods to identify animals susceptible to adverse drug events thereby preventing fatal adverse drug reactions.",Katrina Mealey,,FALSE,f,,
553,Psychology,Prof.,Leonard,,Green,,"For distinguished contributions to the fields of behavioral economics and behavior analysis, particularly for characterizing discounting rewards as a function of time and risk.",Leonard Green,,FALSE,m,,
554,Biological Sciences,Dr.,Elizabeth,S.,Haswell,,For identifying mechanisms by which plant cells sense and respond to physical forces and for an inclusive and diverse group which expands the scientific community and communicates new knowledge.,Elizabeth Haswell,,FALSE,f,,
555,Chemistry  ,Prof.,Sophia,E.,Hayes,,For leadership leveraging solid-state NMR on collaborative teams as a resource for materials science and science communication on climate change and U.S. helium reserve challenges,Sophia Hayes,,FALSE,f,,
556,Biological Sciences,Prof.,Erik,,Herzog,,For showing us the importance and mechanisms of clocks and timing to all aspects of life.,Erik Herzog,,FALSE,m,,
557,Psychology,Dr.,Mark,A.,McDaniel,,For distinguished contributions to the study of prospective memory and for his inspiring work on applying cognitive psychology to enhance educational effectiveness.,Mark McDaniel,,FALSE,m,,
558,Chemistry  ,Prof.,Jay,W.,Ponder,,"For distinguished contributions to teaching and research in the field of computational chemistry and molecular modeling, particularly for the development of polarizable biomolecular force fields and molecular dynamics software.",Jay Ponder,,FALSE,m,,
559,Biological Sciences,Prof.,Crickette,,Sanz,,"For outstanding work on primates, particularly chimpanzees, as they relate to their environment.",Crickette Sanz,,TRUE,f,2020,
560,Medical Sciences,Prof.,Pamela,K. ,Woodard,,"For distinguished contributions to the field of cardiovascular research, particularly for translating new preclinical imaging platforms to patients.",Pamela Woodard,,FALSE,f,,
561,Pharmaceutical Sciences,Dr.,Bonnie,,Sloane,,"For distinguished contributions to the field of proteolysis, in particular for molecular and cell biological studies of cysteine cathepsins of cancer degradome identifying them as potential targets for therapeutic intervention.",Bonnie Sloane,,FALSE,f,,
562,Biological Sciences,Prof.,Reeta,,Rao,,"For distinguished contributions in the fields of fungal infectious disease and host-pathogen interactions, as well as distinguished contributions to undergraduate and graduate education.",Reeta Rao,,FALSE,f,,
563,Biological Sciences,Dr.,Donald,M.,Engelman,,"For pioneering efforts in understanding of principles of membrane organization, including bilayer structure, helix formation, and helix interactions.",Donald Engelman,,TRUE,m,2010,
564,Astronomy,Prof.,Debra,,Fischer,,"For distinguished contributions over many years to the search for and discovery of exoplanets, and the communication of science to the wider community.",Debra Fischer,,TRUE,f,2004,
